Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC,Training Time (s)
Xception,svm,1,0.8916083916083916,0.8914622032103234,0.8906065901397197,0.9642321865992088,0.890058646939783,0.9794288482794113,109.06249690055847
Xception,svm,2,0.9038461538461539,0.9018511174408415,0.9007222436168237,0.9681582723110532,0.9011583297320882,0.9838661372426059,111.54698371887207
Xception,svm,3,0.9036777583187391,0.8964085675717447,0.8975009554253587,0.9686067499484096,0.896436407505139,0.9843071491059956,105.78440380096436
Xception,svm,4,0.9124343257443083,0.9060791082720907,0.9039442687531859,0.9712060618378424,0.9048000983709644,0.9825665239943551,111.51660966873169
Xception,svm,5,0.9054290718038529,0.9060173620338382,0.9025454916382001,0.9686294287103877,0.9030070609014428,0.9821726900484625,111.62397599220276
Xception,svm,6,0.9001751313485113,0.8957095914398705,0.8919428893706829,0.9670077786213918,0.892517568342559,0.985273576906154,106.01292991638184
Xception,svm,7,0.9019264448336253,0.9029693342935526,0.9045823802337831,0.9670541651443305,0.9027679209359321,0.9804714944341879,106.67874026298523
Xception,svm,8,0.9001751313485113,0.898047482072,0.8962728689221227,0.9671190376919057,0.8962274201097222,0.9791996214272604,107.94209504127502
Xception,svm,9,0.8984238178633975,0.8937102826324822,0.8949417733336658,0.9670923055016564,0.8925494496534168,0.9791164098849332,104.82177686691284
Xception,svm,10,0.9089316987740805,0.9063310259629278,0.9033087330204452,0.9697633206098065,0.9045346459308189,0.9811916686745075,103.71094799041748
