Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC
InceptionV3,svm,1,0.9003496503496503,0.9013521126760564,0.8999085206169412,0.9671522072940653,0.8987286068666485,0.9839604519596968
InceptionV3,svm,2,0.9108391608391608,0.9089185775313862,0.9072395814892615,0.9705069140630315,0.9073572714206526,0.9846071817179137
InceptionV3,svm,3,0.9159369527145359,0.9117607720745736,0.9142642981833964,0.9729430323500282,0.9109350162795278,0.9885334879725046
InceptionV3,svm,4,0.9281961471103327,0.9246227469269163,0.92000777000777,0.9762716587829132,0.9216426210339723,0.9893524420900162
InceptionV3,svm,5,0.9054290718038529,0.9109902763340983,0.902596799143615,0.9686210777175184,0.9039146625567991,0.985348279444102
InceptionV3,svm,6,0.9019264448336253,0.8958863785786864,0.8932284367021982,0.9676340678863784,0.8937734501229694,0.9837280076335672
InceptionV3,svm,7,0.9019264448336253,0.9017007544401546,0.9040021509048641,0.9672077940128421,0.9020865850412281,0.9880443879834908
InceptionV3,svm,8,0.8966725043782837,0.8928247815612528,0.8914668416160954,0.9660548831468263,0.8913934760947126,0.9823323167211605
InceptionV3,svm,9,0.9071803852889667,0.9004960317460317,0.9016941282653271,0.9697114936626337,0.9007193554808419,0.9857598324636582
InceptionV3,svm,10,0.9176882661996497,0.9163158804393186,0.9118859849896731,0.9726150317009192,0.9134575008920855,0.9842164775473328
