Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC
VGG16,svm,1,0.8636363636363636,0.8707959498357534,0.8633661605173775,0.9549333392677373,0.8635343157155239,0.9748872177568003
VGG16,svm,2,0.8881118881118881,0.8889051993917231,0.8844936394981635,0.9629212996300229,0.8850374948773401,0.9763765652828578
VGG16,svm,3,0.8633975481611208,0.8612240289069557,0.8577720614192763,0.9557212405171739,0.854057075418943,0.9738836511061915
VGG16,svm,4,0.8966725043782837,0.8978992710098291,0.8861738403139676,0.9656594464751709,0.8894897154807042,0.9727887141380428
VGG16,svm,5,0.8861646234676007,0.8930913536885828,0.882628011708633,0.96228274847012,0.8832772178284866,0.9771624665438647
VGG16,svm,6,0.8809106830122592,0.8831453051100959,0.8704896742195446,0.9605589044876854,0.8729169099406413,0.9747720103328481
VGG16,svm,7,0.8861646234676007,0.8957305406457949,0.8851251568139553,0.9612132563883385,0.8885263724816898,0.9803342213280283
VGG16,svm,8,0.8844133099824869,0.8859989713025022,0.8816116594847938,0.9620709913914234,0.8807580358400823,0.9751014588232261
VGG16,svm,9,0.87215411558669,0.8720683266719073,0.8701617563220103,0.9587403244076168,0.8669239736624681,0.9751430849743408
VGG16,svm,10,0.8914185639229422,0.8973070346940115,0.8858046645515243,0.9635872273080955,0.8892562289181536,0.9739531576322353
