Architecture,Classifier,Fold,Accuracy,Precision,Recall,Specificity,F1 Score,ROC AUC,training_time
ResNet101,softmax,6,0.8056042031523643,0.8171261935896561,0.7981208781165502,0.9359763581242971,0.799161471524125,0.9622948274288501,3930.8033809661865
ResNet101,softmax,7,0.8458844133099825,0.8712512900160423,0.849047309684714,0.9480090665003842,0.8534623276778255,0.9752672381404976,3930.8033809661865
ResNet101,softmax,8,0.8371278458844134,0.8385186976946019,0.8282245987843002,0.9460198300094633,0.8305135871586597,0.9680297662789854,3930.8033809661865
ResNet101,softmax,9,0.8021015761821366,0.8356051789154156,0.8006440504997147,0.9364220923332452,0.7977438217122683,0.9667626630860133,3930.8033809661865
ResNet101,softmax,10,0.8143607705779334,0.8370410453743786,0.8161034745614408,0.9384022214152521,0.8156336118101136,0.9631236823397491,3930.8033809661865
ResNet101,svm,1,0.8409090909090909,0.8401195401389501,0.8411254279351115,0.947263647163278,0.8398995652124119,0.9688302349622256,1037.697813987732
ResNet101,svm,2,0.8811188811188811,0.878884022112091,0.8774525448070047,0.9605169796861075,0.8774159600389795,0.9720286206559277,1037.697813987732
ResNet101,svm,3,0.8581436077057794,0.852182267298695,0.8539009693518977,0.9537129475920477,0.8505530333987054,0.9708629559730217,1037.697813987732
ResNet101,svm,4,0.8861646234676007,0.881397901211199,0.8752661970018658,0.9622761133855737,0.8773258559102994,0.9775767445444212,1037.697813987732
ResNet101,svm,5,0.8633975481611208,0.8667746245630639,0.8597441127346961,0.9547686672879885,0.8605007729914793,0.9687639500908176,1037.697813987732
ResNet101,svm,6,0.8528896672504378,0.844367469879518,0.8420135324922545,0.9513440282436909,0.8423313350282736,0.9654222498511983,1037.697813987732
ResNet101,svm,7,0.8546409807355516,0.8555540751472386,0.8547141483328614,0.951244106045653,0.854118788137451,0.9740428109300694,1037.697813987732
ResNet101,svm,8,0.8686514886164624,0.8639826556285292,0.8645627258313826,0.9567473058555052,0.8636683431833683,0.9724506741564627,1037.697813987732
